0 45 47 26 26 30 31 48 31 28 27 54 43 46 31 30 28 46 30 45 62 43 29 31 27 47 46 26 27 29 29 56 28 49 45 37 46 28 42 31 22 22 
45 0 56 28 28 30 30 56 29 28 30 45 66 44 32 31 26 56 29 54 47 72 30 29 30 45 57 28 27 27 28 45 27 55 90 36 46 28 71 26 28 22 
47 56 0 27 30 28 29 55 32 26 30 46 38 37 31 30 28 54 30 53 48 38 28 32 31 45 65 28 28 28 29 43 32 54 54 31 46 26 51 28 25 24 
26 28 27 0 62 40 42 27 40 42 61 31 33 33 40 49 38 31 44 29 31 30 49 40 64 26 26 72 41 79 40 31 66 30 24 36 31 41 34 68 35 76 
26 28 30 62 0 39 44 31 44 44 59 32 33 40 42 63 38 29 44 30 30 33 52 44 61 29 29 61 42 60 43 30 94 30 28 40 29 41 33 72 38 59 
30 30 28 40 39 0 47 30 47 45 38 27 33 33 43 44 60 34 47 30 30 33 43 47 39 27 29 40 47 40 42 29 40 29 30 41 29 46 32 42 41 38 
31 30 29 42 44 47 0 31 63 65 42 32 32 30 54 49 49 32 65 29 31 32 40 63 44 29 30 41 62 42 58 29 44 27 30 48 30 54 32 43 45 41 
48 56 55 27 31 30 31 0 31 27 31 53 57 35 33 30 28 56 28 51 47 57 29 31 31 45 56 30 26 28 28 44 33 52 54 33 48 27 56 30 26 23 
31 29 32 40 44 47 63 31 0 67 41 46 33 36 54 36 51 31 67 32 27 33 35 99 42 29 31 40 66 44 58 32 43 32 29 48 31 56 32 44 42 42 
28 28 26 42 44 45 65 27 67 0 40 35 30 31 55 46 50 29 65 27 32 29 37 67 42 27 27 39 63 40 65 32 43 26 28 48 24 55 29 43 47 38 
27 30 30 61 59 38 42 31 41 40 0 28 31 40 40 49 40 32 41 28 28 32 50 41 90 29 32 58 42 59 40 28 58 32 28 36 31 41 30 55 36 57 
54 45 46 31 32 27 32 53 46 35 28 0 42 30 34 33 32 42 37 46 57 41 33 46 28 95 45 27 29 35 22 53 32 47 46 25 42 46 42 28 28 31 
43 66 38 33 33 33 32 57 33 30 31 42 0 40 31 33 30 53 32 53 46 91 32 33 31 45 53 31 29 31 31 42 32 55 52 39 46 28 94 29 29 26 
46 44 37 33 40 33 30 35 36 31 40 30 40 0 31 40 34 39 41 40 50 42 40 36 40 32 39 25 35 27 44 40 41 37 44 25 40 34 45 40 28 29 
31 32 31 40 42 43 54 33 54 55 40 34 31 31 0 45 44 34 50 31 31 31 37 54 41 27 31 40 49 39 51 31 42 32 32 49 29 60 31 50 49 38 
30 31 30 49 63 44 49 30 36 46 49 33 33 40 45 0 35 35 48 32 29 32 96 36 51 29 30 48 47 58 38 32 65 31 31 32 31 38 33 66 31 52 
28 26 28 38 38 60 49 28 51 50 40 32 30 34 44 35 0 32 51 28 28 29 36 51 40 24 28 39 50 38 46 31 38 28 25 42 30 47 31 41 40 36 
